,kmpost,xpos,ypos,paths
新宿,-5200,0,300,
笹塚,-1600,72,300,
代田橋,-800,88,300,
明大前,0,104,300,
下高井戸,900,122,300,
桜上水,1800,140,300,
上北沢,2600,156,300,
八幡山,3200,168,300,
芦花公園,3900,182,300,
千歳烏山,4700,198,300,
仙川,6300,230,300,
つつじヶ丘,7300,250,300,
柴崎,8100,266,300,
国領,9000,284,300,
布田,9700,298,300,
調布,10300,310,300,
西調布,11800,340,300,
飛田給,12500,354,300,
武蔵野台,13600,376,300,
多磨霊園,14400,392,300,
東府中,15200,408,300,
府中,16700,438,300,
分倍河原,17900,462,300,
中河原,19500,494,300,
聖蹟桜ヶ丘,21100,526,300,
百草園,22800,560,300,
高幡不動,24500,594,300,
南平,26900,642,300,
平山城址公園,28200,668,300,
長沼,29700,698,300,
北野,30900,722,300,
京王八王子,32700,758,300,
